,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.46,0.52,0.49
3,Decision Tree,0.54,0.55,0.54
5,Random Forest,0.54,0.62,0.58
7,Neural Network,0.44,0.4,0.42
