station id, station name, valid,povp. dnevna T [°C],povp. veter [m/s],povp. rel. vla. [%],povp. tlak [hPa],količina padavin [mm],trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,2003-01-01,6.6,2.8,69,1012,24.5,8
_1896,PORTOROŽ - LETALIŠČE,2003-01-02,10.1,2.6,88,1007,0,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-03,7.2,2.6,89,1003,2.8,1
_1896,PORTOROŽ - LETALIŠČE,2003-01-04,6.6,0.9,90,1002,0,3.1
_1896,PORTOROŽ - LETALIŠČE,2003-01-05,6.5,3.1,77,1000,0.3,0.3
_1896,PORTOROŽ - LETALIŠČE,2003-01-06,4.7,1.3,74,1008,4.4,3.9
_1896,PORTOROŽ - LETALIŠČE,2003-01-07,0,5.6,67,1002,15.8,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-08,2,2.2,68,1011,0,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-09,0.1,2.7,75,1005,11.4,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-10,0.6,1.4,82,1012,3.5,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-11,-0.4,5,49,1021,1.2,7.9
_1896,PORTOROŽ - LETALIŠČE,2003-01-12,-0.7,6,30,1027,0,8.2
_1896,PORTOROŽ - LETALIŠČE,2003-01-13,-1,2.7,68,1028,0,6.9
_1896,PORTOROŽ - LETALIŠČE,2003-01-14,1.1,2.7,84,1032,0,7.6
_1896,PORTOROŽ - LETALIŠČE,2003-01-15,2.9,2.4,78,1032,0,7.8
_1896,PORTOROŽ - LETALIŠČE,2003-01-16,3,2.4,92,1028,0,0.1
_1896,PORTOROŽ - LETALIŠČE,2003-01-17,4,2.7,79,1027,0,8.1
_1896,PORTOROŽ - LETALIŠČE,2003-01-18,4.4,1.8,71,1019,0,0.8
_1896,PORTOROŽ - LETALIŠČE,2003-01-19,3.3,2.8,77,1016,0,8.2
_1896,PORTOROŽ - LETALIŠČE,2003-01-20,3.4,2.7,84,1015,0,7.2
_1896,PORTOROŽ - LETALIŠČE,2003-01-21,9,3.1,89,1006,0.1,0
_1896,PORTOROŽ - LETALIŠČE,2003-01-22,8.2,1.8,90,1002,26.7,0.8
_1896,PORTOROŽ - LETALIŠČE,2003-01-23,5.3,3,91,1013,0,3.9
_1896,PORTOROŽ - LETALIŠČE,2003-01-24,8.1,2.2,58,1024,0,8
_1896,PORTOROŽ - LETALIŠČE,2003-01-25,7.8,6.6,55,1027,0,8.6
