station id, station name, valid,povp. dnevna T [°C],povp. veter [m/s],povp. rel. vla. [%],povp. tlak [hPa],količina padavin [mm],trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,1993-01-01,0.7,6.3,43,1026,0,6.6
_1896,PORTOROŽ - LETALIŠČE,1993-01-02,-3.4,6.6,46,1027,0,4
_1896,PORTOROŽ - LETALIŠČE,1993-01-03,-1.7,6.5,47,1025,0,1.6
_1896,PORTOROŽ - LETALIŠČE,1993-01-04,-1,3.6,46,1031,0,6.4
_1896,PORTOROŽ - LETALIŠČE,1993-01-05,-1.4,2.8,59,1036,0,7.2
_1896,PORTOROŽ - LETALIŠČE,1993-01-06,0.1,3.3,68,1033,0,7.4
_1896,PORTOROŽ - LETALIŠČE,1993-01-07,1.8,2.7,63,1024,0,0.7
_1896,PORTOROŽ - LETALIŠČE,1993-01-08,3.5,2.7,76,1024,0,6.2
_1896,PORTOROŽ - LETALIŠČE,1993-01-09,3.2,3.1,89,1028,0,6.6
_1896,PORTOROŽ - LETALIŠČE,1993-01-10,7.1,2.5,82,1027,0,5.5
_1896,PORTOROŽ - LETALIŠČE,1993-01-11,7.2,0.7,90,1023,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-12,7.4,1.1,92,1021,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-13,7.8,0.9,95,1029,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-14,8.3,1.3,97,1030,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-15,7.4,2.3,96,1034,0,4.3
_1896,PORTOROŽ - LETALIŠČE,1993-01-16,7,2.3,93,1036,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-17,6.3,0.7,98,1034,0.1,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-18,5.9,0.6,94,1030,0.4,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-19,3.2,2.3,95,1028,0,1.6
_1896,PORTOROŽ - LETALIŠČE,1993-01-20,4.3,1.1,99,1029,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-21,3.4,1,97,1031,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-22,4.3,1.5,99,1030,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-23,5.4,1.2,96,1027,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-24,6.2,0.5,95,1022,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-25,5.9,1.7,98,1010,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-01-26,1.6,3.9,57,1019,0,7.1
_1896,PORTOROŽ - LETALIŠČE,1993-01-27,2,2.1,76,1013,0,7.6
_1896,PORTOROŽ - LETALIŠČE,1993-01-28,5.8,2.9,79,1016,0,1.1
_1896,PORTOROŽ - LETALIŠČE,1993-01-29,5.2,1.9,88,1017,0,1.8
_1896,PORTOROŽ - LETALIŠČE,1993-01-30,2.6,5.3,45,1027,0,8.2
_1896,PORTOROŽ - LETALIŠČE,1993-01-31,-1.3,2.9,55,1033,0,8.5
_1896,PORTOROŽ - LETALIŠČE,1993-02-01,0.4,3.9,54,1036,0,8.1
_1896,PORTOROŽ - LETALIŠČE,1993-02-02,3.8,2.6,43,1034,0,5.5
_1896,PORTOROŽ - LETALIŠČE,1993-02-03,8.7,3.4,32,1034,0,8.9
_1896,PORTOROŽ - LETALIŠČE,1993-02-04,4.5,3.5,62,1035,0,8.8
_1896,PORTOROŽ - LETALIŠČE,1993-02-05,2.6,2.9,85,1033,0,7.9
_1896,PORTOROŽ - LETALIŠČE,1993-02-06,1.8,1.7,90,1029,0,5.9
_1896,PORTOROŽ - LETALIŠČE,1993-02-07,5.3,3.4,78,1030,0,6.2
_1896,PORTOROŽ - LETALIŠČE,1993-02-08,3.4,3.2,81,1034,0,8.7
_1896,PORTOROŽ - LETALIŠČE,1993-02-09,3.5,3,91,1032,0,7.8
_1896,PORTOROŽ - LETALIŠČE,1993-02-10,2.6,2.4,84,1030,0,6.6
_1896,PORTOROŽ - LETALIŠČE,1993-02-11,5.7,2.2,45,1030,0,9
_1896,PORTOROŽ - LETALIŠČE,1993-02-12,5.2,2.2,60,1034,0,8.9
_1896,PORTOROŽ - LETALIŠČE,1993-02-13,2.8,3.6,77,1033,0,9.2
_1896,PORTOROŽ - LETALIŠČE,1993-02-14,5.2,4.1,64,1029,0,9.1
_1896,PORTOROŽ - LETALIŠČE,1993-02-15,5.7,4.9,46,1030,0,8.9
_1896,PORTOROŽ - LETALIŠČE,1993-02-16,3.3,4,43,1028,0,9
_1896,PORTOROŽ - LETALIŠČE,1993-02-17,-1,2.9,62,1020,0,0.8
_1896,PORTOROŽ - LETALIŠČE,1993-02-18,1.7,3.2,77,1022,0,8.7
_1896,PORTOROŽ - LETALIŠČE,1993-02-19,5.8,2.9,71,1013,0,3.7
_1896,PORTOROŽ - LETALIŠČE,1993-02-20,3,3.7,63,1014,2.4,9.5
_1896,PORTOROŽ - LETALIŠČE,1993-02-21,3.8,4.6,65,999,0,0.5
_1896,PORTOROŽ - LETALIŠČE,1993-02-22,3.6,6.1,27,1004,0,9.4
_1896,PORTOROŽ - LETALIŠČE,1993-02-23,-0.6,3.9,34,1012,0,9.5
_1896,PORTOROŽ - LETALIŠČE,1993-02-24,-1.6,3.2,50,1018,0,3.2
_1896,PORTOROŽ - LETALIŠČE,1993-02-25,1.1,3.6,56,1016,0,6.8
_1896,PORTOROŽ - LETALIŠČE,1993-02-26,0.3,3.6,76,1014,0,7
_1896,PORTOROŽ - LETALIŠČE,1993-02-27,3.5,2.8,88,1014,0,3.3
_1896,PORTOROŽ - LETALIŠČE,1993-02-28,8.7,2.4,59,1012,3.6,2.9
_1896,PORTOROŽ - LETALIŠČE,1993-03-01,6.7,6.9,52,1006,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-03-02,4.6,2.4,80,1006,1.1,0
_1896,PORTOROŽ - LETALIŠČE,1993-03-03,5.6,2.5,68,1006,4.5,5.7
_1896,PORTOROŽ - LETALIŠČE,1993-03-04,4.7,4.7,46,1010,0,5.8
_1896,PORTOROŽ - LETALIŠČE,1993-03-05,2,6.2,45,1013,0,8.6
_1896,PORTOROŽ - LETALIŠČE,1993-03-06,0.2,3.6,63,1011,0,6.8
_1896,PORTOROŽ - LETALIŠČE,1993-03-07,5.1,4.2,59,1009,0,6.1
_1896,PORTOROŽ - LETALIŠČE,1993-03-08,5.6,4.4,39,1017,0,9.6
_1896,PORTOROŽ - LETALIŠČE,1993-03-09,3.9,4.3,60,1023,0,9.9
_1896,PORTOROŽ - LETALIŠČE,1993-03-10,4.1,3.6,68,1026,0,9.8
_1896,PORTOROŽ - LETALIŠČE,1993-03-11,4.3,3.6,80,1026,0,7.8
_1896,PORTOROŽ - LETALIŠČE,1993-03-12,4.4,3.1,86,1027,0,8.6
_1896,PORTOROŽ - LETALIŠČE,1993-03-13,3.6,2.4,91,1026,0,6.2
_1896,PORTOROŽ - LETALIŠČE,1993-03-14,3,2.4,92,1027,0,8.2
_1896,PORTOROŽ - LETALIŠČE,1993-03-15,3.2,2.6,92,1028,0,7.4
_1896,PORTOROŽ - LETALIŠČE,1993-03-16,4.4,1.4,90,1028,0,7.6
_1896,PORTOROŽ - LETALIŠČE,1993-03-17,6.5,2.3,90,1024,0,0.5
_1896,PORTOROŽ - LETALIŠČE,1993-03-18,9.5,1.8,77,1022,0,7.7
_1896,PORTOROŽ - LETALIŠČE,1993-03-19,10.2,3.6,72,1020,0,3.9
_1896,PORTOROŽ - LETALIŠČE,1993-03-20,11.5,3.5,65,1023,0,10.4
_1896,PORTOROŽ - LETALIŠČE,1993-03-21,10.4,3.4,74,1020,0,6.9
_1896,PORTOROŽ - LETALIŠČE,1993-03-22,10.6,1.8,91,1020,0,1.4
_1896,PORTOROŽ - LETALIŠČE,1993-03-23,11.8,1.4,90,1022,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-03-24,10.5,1.6,93,1018,0,0
_1896,PORTOROŽ - LETALIŠČE,1993-03-25,6.5,7.1,74,1014,38.4,0
_1896,PORTOROŽ - LETALIŠČE,1993-03-26,6.5,4.6,50,1014,1.7,6.4
_1896,PORTOROŽ - LETALIŠČE,1993-03-27,7.3,8.1,33,1011,0,10.6
_1896,PORTOROŽ - LETALIŠČE,1993-03-28,4,2.9,54,1008,0,8
_1896,PORTOROŽ - LETALIŠČE,1993-03-29,3.8,4.2,54,1016,0,7.8
_1896,PORTOROŽ - LETALIŠČE,1993-03-30,3.5,3.8,71,1022,0,8
_1896,PORTOROŽ - LETALIŠČE,1993-03-31,4,4,70,1023,0,10.5
_1896,PORTOROŽ - LETALIŠČE,1993-04-01,5.7,3.4,71,1018,0,10.7
_1896,PORTOROŽ - LETALIŠČE,1993-04-02,10.8,1.9,75,1009,0,1
_1896,PORTOROŽ - LETALIŠČE,1993-04-03,8.3,2.9,71,1008,0.5,0.4
_1896,PORTOROŽ - LETALIŠČE,1993-04-04,7.7,3.4,75,1010,0.9,9.2
_1896,PORTOROŽ - LETALIŠČE,1993-04-05,10.8,2.3,59,1012,0,8.2
_1896,PORTOROŽ - LETALIŠČE,1993-04-06,9,3.5,72,1009,0,9.6
_1896,PORTOROŽ - LETALIŠČE,1993-04-07,9.7,2.8,77,1007,0,6.2
_1896,PORTOROŽ - LETALIŠČE,1993-04-08,9.2,2.7,80,1011,0,6.9
_1896,PORTOROŽ - LETALIŠČE,1993-04-09,8.2,3.9,71,1017,1.6,9.7
_1896,PORTOROŽ - LETALIŠČE,1993-04-10,9,2.8,78,1013,0,3.8
_1896,PORTOROŽ - LETALIŠČE,1993-04-11,10.2,2.3,94,1004,10.9,0
_1896,PORTOROŽ - LETALIŠČE,1993-04-12,11.1,2.2,86,1003,8.7,4.1
_1896,PORTOROŽ - LETALIŠČE,1993-04-13,11.1,4.1,85,1004,0,2.2
_1896,PORTOROŽ - LETALIŠČE,1993-04-14,10.8,3.2,84,1012,1.7,5.6
_1896,PORTOROŽ - LETALIŠČE,1993-04-15,11.9,3.9,65,1007,1.2,0
_1896,PORTOROŽ - LETALIŠČE,1993-04-16,11.7,3.5,75,1014,2.2,9.1
_1896,PORTOROŽ - LETALIŠČE,1993-04-17,7.6,3.2,79,1018,0,6.4
_1896,PORTOROŽ - LETALIŠČE,1993-04-18,9.7,2.8,67,1019,0,7.1
_1896,PORTOROŽ - LETALIŠČE,1993-04-19,11.4,2.2,70,1018,0,2.3
_1896,PORTOROŽ - LETALIŠČE,1993-04-20,12.4,1.9,78,1019,0,10.2
_1896,PORTOROŽ - LETALIŠČE,1993-04-21,13.4,3.3,79,1018,0,9.7
_1896,PORTOROŽ - LETALIŠČE,1993-04-22,13.2,3.6,78,1015,0,12.4
_1896,PORTOROŽ - LETALIŠČE,1993-04-23,12.9,2.7,77,1015,0,12.1
_1896,PORTOROŽ - LETALIŠČE,1993-04-24,12.9,3.3,83,1013,0,10.7
_1896,PORTOROŽ - LETALIŠČE,1993-04-25,14.5,3.5,73,1013,0,1.4
_1896,PORTOROŽ - LETALIŠČE,1993-04-26,15.4,2.3,69,1016,0,7
_1896,PORTOROŽ - LETALIŠČE,1993-04-27,16.4,2.8,69,1015,0,8.6
_1896,PORTOROŽ - LETALIŠČE,1993-04-28,18.2,3.5,52,1012,0,4.5
_1896,PORTOROŽ - LETALIŠČE,1993-04-29,15.7,3.5,71,1012,0.2,3.5
_1896,PORTOROŽ - LETALIŠČE,1993-04-30,14.5,3.6,79,1013,2.1,7.2
_1896,PORTOROŽ - LETALIŠČE,1993-05-01,14.3,2.9,82,1011,0,8.9
_1896,PORTOROŽ - LETALIŠČE,1993-05-02,13.1,3,89,1010,0.2,4.3
_1896,PORTOROŽ - LETALIŠČE,1993-05-03,14.1,2.5,87,1016,0,9.2
_1896,PORTOROŽ - LETALIŠČE,1993-05-04,18.8,3.4,60,1017,0,8.2
_1896,PORTOROŽ - LETALIŠČE,1993-05-05,18.4,3.5,53,1014,0,3.7
_1896,PORTOROŽ - LETALIŠČE,1993-05-06,18.4,2.3,57,1013,0,10.2
_1896,PORTOROŽ - LETALIŠČE,1993-05-07,18.1,2.6,62,1013,0,6.4
_1896,PORTOROŽ - LETALIŠČE,1993-05-08,18.6,3,59,1014,0,2.5
