,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.55,0.45,0.49
3,Decision Tree,0.38,0.28,0.32
5,Random Forest,0.81,0.62,0.7
7,Neural Network,0.51,0.48,0.49
