,Pearson
Dinophysis sacculus,0.09
Soca,0.06
precipitation,0.05
DSP,0.03
sun [h],0.03
Dinophysis fortii,-0.02
air temp,0.02
T,-0.02
wind strength,-0.02
Dinophysis caudata,0.01
salinity,-0.01
Dinophysis tripos,-0.01
Phalacroma rotundatum,-0.01
month,-0.0
