,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.74,0.42,0.54
3,Decision Tree,0.51,0.48,0.49
5,Random Forest,0.75,0.52,0.62
7,Neural Network,0.36,0.5,0.42
