,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.38,0.48
3,Decision Tree,0.47,0.35,0.4
5,Random Forest,0.67,0.65,0.66
7,Neural Network,0.38,0.52,0.44
