,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.38,0.42
3,Decision Tree,0.38,0.35,0.36
5,Random Forest,0.69,0.55,0.61
7,Neural Network,0.43,0.32,0.37
