,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.6,0.38,0.46
3,Decision Tree,0.36,0.4,0.38
5,Random Forest,0.76,0.4,0.52
7,Neural Network,0.24,0.55,0.34
