,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.65,0.5,0.56
3,Decision Tree,0.33,0.48,0.39
5,Random Forest,0.84,0.52,0.65
7,Neural Network,0.35,0.55,0.43
