,Pearson
precipitation,-0.12
wind strength,0.08
Dinophysis sacculus,-0.07
DSP,-0.05
Dinophysis caudata,-0.05
month,-0.04
sun [h],0.04
Dinophysis tripos,0.04
Phalacroma rotundatum,-0.04
salinity,0.02
T,-0.02
Dinophysis fortii,-0.02
Soca,-0.02
air temp,0.0
