,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.5,0.48,0.49
3,Decision Tree,0.28,0.72,0.4
5,Random Forest,0.76,0.62,0.68
7,Neural Network,0.41,0.5,0.45
