,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.71,0.42,0.53
3,Decision Tree,0.5,0.3,0.37
5,Random Forest,0.91,0.52,0.67
7,Neural Network,0.46,0.42,0.44
