,Pearson
Dinophysis caudata,0.15
DSP,0.09
salinity,-0.08
Dinophysis sacculus,0.08
Phalacroma rotundatum,0.05
precipitation,-0.05
Soca,-0.04
Dinophysis fortii,-0.02
air temp,0.01
sun [h],0.01
T,0.01
wind strength,0.01
month,0.01
Dinophysis tripos,0.0
