,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.51,0.48,0.49
3,Decision Tree,0.46,0.42,0.44
5,Random Forest,0.78,0.62,0.69
7,Neural Network,0.44,0.52,0.48
