,Pearson
Dinophysis caudata,0.09
Dinophysis sacculus,0.07
wind strength,0.07
sun [h],-0.06
air temp,-0.05
DSP,0.05
precipitation,0.03
Dinophysis fortii,-0.02
Soca,0.02
month,0.02
Phalacroma rotundatum,-0.01
T,-0.01
Dinophysis tripos,-0.0
salinity,-0.0
