,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.35,0.41
3,Decision Tree,0.29,0.4,0.34
5,Random Forest,0.83,0.6,0.7
7,Neural Network,0.34,0.5,0.41
