PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,salinity,T,O2,pH,Soca,lipophylic_toxins,date_1,date_2,date_3,date_4,date_5,date_6,date_7,date_8,date_9,date_10,date_11,date_12
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,35.38,17.27,240.720001220703,8.06999969482422,4747.222,neg,0,0,0,0,0,0,0,0,0,1,0,0
162.0,55.0,200.0,,0.0,0.0,5.0,50.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,33.75,23.2,,,2498.0260000000003,poz,0,0,0,0,0,1,0,0,0,0,0,0
173.0,96.0,2920.0,,0.0,0.0,0.0,96.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,34.25,22.4,,,2498.0260000000003,poz,0,0,0,0,0,1,0,0,0,0,0,0
328.0,18.0,37.0,,0.0,9.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,34.25,22.4,,,3074.1939999999995,poz,0,0,0,0,0,0,1,0,0,0,0,0
0.0,64.0,0.0,,9.0,46.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,33.75,23.2,,,3074.1939999999995,poz,0,0,0,0,0,0,1,0,0,0,0,0
,26.0,0.0,,13.0,13.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,35.0,22.3,,,3016.5229999999997,poz,0,0,0,0,0,0,1,0,0,0,0,0
0.0,13.0,0.0,,0.0,0.0,0.0,13.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,35.0,21.8,,,3016.5229999999997,poz,0,0,0,0,0,0,1,0,0,0,0,0
0.0,46.0,0.0,,5.0,36.0,5.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,34.75,25.7,,,2079.4180000000006,neg,0,0,0,0,0,0,0,0,1,0,0,0
80.0,204.0,0.0,,84.0,116.0,4.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,34.75,25.8,,,2079.4180000000006,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,77.0,0.0,,36.0,27.0,9.0,0.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,35.3,21.9,204.990005493164,8.0600004196167,1905.1640000000002,neg,0,0,0,0,0,0,0,0,0,1,0,0
82.0,87.0,0.0,,59.0,23.0,0.0,5.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,35.49,22.13,204.990005493164,8.11999988555908,1905.1640000000002,neg,0,0,0,0,0,0,0,0,0,1,0,0
409.0,250.0,0.0,,145.0,82.0,9.0,9.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,36.0,21.8,,,1232.003,neg,0,0,0,0,0,0,0,0,0,1,0,0
259.0,96.0,0.0,,72.0,14.0,0.0,10.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,36.0,20.8,,,1232.003,neg,0,0,0,0,0,0,0,0,0,1,0,0
0.0,16.0,20.0,,12.0,0.0,4.0,0.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,36.47,12.38,264.829986572266,8.06999969482422,4675.560999999999,neg,0,0,0,0,1,0,0,0,0,0,0,0
117.0,5.0,0.0,,0.0,0.0,0.0,5.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,36.84,11.36,264.829986572266,8.10000038146973,4675.560999999999,neg,0,0,0,0,1,0,0,0,0,0,0,0
386.0,5.0,5.0,,0.0,0.0,5.0,0.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,36.3,19.29,229.110000610352,8.05000019073486,3393.551,neg,0,0,0,0,0,1,0,0,0,0,0,0
89.0,142.0,44.0,,0.0,0.0,18.0,124.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,36.65,18.39,232.229995727539,8.07999992370605,3393.551,neg,0,0,0,0,0,1,0,0,0,0,0,0
426.0,407.0,19.0,,0.0,0.0,9.0,398.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,36.3,19.29,229.110000610352,8.05000019073486,2680.291999999999,neg,0,0,0,0,0,1,0,0,0,0,0,0
9.0,19.0,19.0,,0.0,0.0,14.0,5.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,36.65,18.39,232.229995727539,8.07999992370605,2680.291999999999,neg,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,34.9199981689453,24.7700004577637,,8.18000030517578,1798.4090000000008,neg,0,0,0,0,0,1,0,0,0,0,0,0
88.0,14.0,0.0,,9.0,0.0,5.0,0.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,35.3400001525879,24.5300006866455,,8.06999969482422,1798.4090000000008,neg,0,0,0,0,0,1,0,0,0,0,0,0
5.0,15.0,5.0,,0.0,0.0,10.0,5.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,35.97,22.55,214.809997558594,8.06999969482422,1274.9560000000004,neg,0,0,0,0,0,0,1,0,0,0,0,0
83.0,55.0,0.0,,37.0,0.0,9.0,9.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,36.11,22.79,217.050003051758,8.09000015258789,1274.9560000000004,neg,0,0,0,0,0,0,1,0,0,0,0,0
0.0,5.0,18.0,,0.0,0.0,5.0,0.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,37.4199981689453,22.7199993133545,,8.07999992370605,980.262,neg,0,0,0,0,0,0,1,0,0,0,0,0
86.0,41.0,0.0,,27.0,0.0,14.0,0.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,37.2299995422363,22.6000003814697,,8.07999992370605,980.262,neg,0,0,0,0,0,0,1,0,0,0,0,0
0.0,5.0,0.0,,0.0,0.0,5.0,0.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,36.91,23.6,196.949996948242,8.09000015258789,970.561,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,11.0,5.0,,11.0,0.0,0.0,0.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,37.41,22.99,201.419998168945,8.0600004196167,970.561,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,10.0,0.0,,10.0,0.0,0.0,0.0,0.0,186.79999999999998,23.83809523809524,2.942857142857143,10.899999999999999,37.2799987792969,23.0100002288818,,8.03999996185303,1478.9259999999997,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,10.0,0.0,,5.0,0.0,5.0,0.0,0.0,186.79999999999998,23.83809523809524,2.942857142857143,10.899999999999999,37.310001373291,22.0499992370605,,8.05000019073486,1478.9259999999997,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,134.0,0.0,,130.0,4.0,0.0,0.0,0.0,154.9,22.55238095238095,2.8904761904761904,26.9,37.4700012207031,25.6399993896484,,8.14000034332275,1537.625,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,57.0,4.0,,44.0,0.0,4.0,9.0,0.0,154.9,22.55238095238095,2.8904761904761904,26.9,37.5200004577637,25.5699996948242,,8.14999961853027,1537.625,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,34.0,5.0,,24.0,0.0,5.0,0.0,0.0,147.60000000000002,21.56190476190476,2.9095238095238094,22.700000000000003,37.5200004577637,25.5699996948242,,8.14999961853027,1577.04,neg,0,0,0,0,0,0,0,0,1,0,0,0
5.0,28.0,0.0,,19.0,0.0,9.0,0.0,0.0,147.60000000000002,21.56190476190476,2.9095238095238094,22.700000000000003,37.4700012207031,25.6399993896484,,8.14000034332275,1577.04,neg,0,0,0,0,0,0,0,0,1,0,0,0
157.0,61.0,0.0,,26.0,13.0,22.0,0.0,0.0,167.5,20.952380952380956,3.0095238095238095,22.0,36.52,24.41,178.639999389648,8.05000019073486,1524.7590000000002,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,26.0,13.0,,22.0,0.0,4.0,0.0,0.0,167.5,20.952380952380956,3.0095238095238095,22.0,36.48,24.83,182.210006713867,8.09000015258789,1524.7590000000002,neg,0,0,0,0,0,0,0,0,1,0,0,0
83.0,60.0,5.0,,5.0,0.0,55.0,0.0,0.0,174.70000000000002,20.30952380952381,3.2571428571428576,39.2,37.4700012207031,23.1000003814697,,8.03999996185303,1397.4300000000003,neg,0,0,0,0,0,0,0,0,1,0,0,0
95.0,18.0,0.0,,0.0,9.0,9.0,0.0,0.0,132.50000000000003,19.03333333333333,3.528571428571429,67.2,37.5099983215332,22.6499996185303,,8.09000015258789,2150.4809999999998,neg,0,0,0,0,0,0,0,0,0,1,0,0
0.0,73.0,0.0,,0.0,55.0,18.0,0.0,0.0,132.50000000000003,19.03333333333333,3.528571428571429,67.2,37.4599990844727,22.5100002288818,,8.14999961853027,2150.4809999999998,poz,0,0,0,0,0,0,0,0,0,1,0,0
0.0,96.0,0.0,,5.0,0.0,14.0,77.0,0.0,143.1,16.728571428571428,3.4380952380952374,35.5,37.47,22.81,197.399993896484,8.06999969482422,2503.171,neg,0,0,0,0,0,0,0,0,0,1,0,0
109.0,50.0,0.0,,0.0,27.0,23.0,0.0,0.0,143.1,16.728571428571428,3.4380952380952374,35.5,37.36,22.56,180.429992675781,8.05000019073486,2503.171,poz,0,0,0,0,0,0,0,0,0,1,0,0
0.0,30.0,0.0,,0.0,25.0,5.0,0.0,0.0,107.89999999999999,13.52857142857143,3.1333333333333333,31.3,36.8699989318848,22.6900005340576,,8.09000015258789,2659.9690000000005,poz,0,0,0,0,0,0,0,0,0,1,0,0
0.0,37.0,0.0,,5.0,23.0,9.0,0.0,0.0,95.99999999999999,14.00952380952381,2.9952380952380957,60.699999999999996,35.8199996948242,22.7600002288818,,8.14999961853027,4149.313999999999,poz,0,0,0,0,0,0,0,0,0,1,0,0
,18.0,0.0,,0.0,9.0,9.0,0.0,0.0,46.8,11.276190476190475,2.452380952380952,63.599999999999994,37.5299987792969,18.8099994659424,,8.06999969482422,3813.1899999999996,poz,0,0,0,0,0,0,0,0,0,0,1,0
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.400000000000006,10.79047619047619,2.6714285714285717,93.3,37.5800018310547,19.1900005340576,,8.10999965667725,3829.6909999999993,neg,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,222.99999999999997,19.071428571428573,2.952380952380952,27.599999999999998,35.5299987792969,,195.470001220703,,2729.1700000000005,neg,0,0,0,0,0,1,0,0,0,0,0,0
890.0,790.0,390.0,,28.999999999999996,0.0,73.0,538.0,15.0,222.99999999999997,19.071428571428573,2.952380952380952,27.599999999999998,36.82,19.79,259.920013427734,8.10999965667725,2729.1700000000005,neg,0,0,0,0,0,1,0,0,0,0,0,0
470.0,270.0,50.0,,17.0,0.0,28.000000000000004,216.0,0.0,256.9,21.9,2.6142857142857143,8.0,36.5699996948242,,172.639999389648,,2107.5000000000005,neg,0,0,0,0,0,1,0,0,0,0,0,0
130.0,180.0,0.0,,28.999999999999996,0.0,80.0,36.0,0.0,256.9,21.9,2.6142857142857143,8.0,35.47,25.58,241.610000610352,8.1899995803833,2107.5000000000005,neg,0,0,0,0,0,1,0,0,0,0,0,0
100.0,220.00000000000003,0.0,,40.0,0.0,142.0,28.000000000000004,0.0,238.89999999999998,22.73333333333333,2.7904761904761903,5.8,35.5200004577637,,168.259994506836,,1142.1,neg,0,0,0,0,0,0,1,0,0,0,0,0
270.0,270.0,0.0,,7.000000000000001,0.0,196.0,28.999999999999996,0.0,238.89999999999998,22.73333333333333,2.7904761904761903,5.8,35.47,25.58,241.610000610352,8.1899995803833,1142.1,neg,0,0,0,0,0,0,1,0,0,0,0,0
229.99999999999997,580.0,0.0,,376.0,0.0,0.0,182.0,0.0,211.2,21.7,3.1285714285714286,77.0,35.8699989318848,,162.940002441406,,2235.36,neg,0,0,0,0,0,0,1,0,0,0,0,0
20.0,1920.0,30.0,,1309.0,0.0,262.0,334.0,0.0,211.2,21.7,3.1285714285714286,77.0,31.07,23.95,233.570007324219,8.22000026702881,2235.36,neg,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1130.0,20.0,,832.0,0.0,68.0,227.99999999999997,0.0,213.29999999999998,20.423809523809524,2.8476190476190473,69.1,34.560001373291,,163.25,,2579.5500000000006,neg,0,0,0,0,0,0,0,1,0,0,0,0
90.0,1380.0,330.0,,727.0,0.0,204.0,422.0,0.0,213.29999999999998,20.423809523809524,2.8476190476190473,69.1,31.07,23.95,233.570007324219,8.22000026702881,2579.5500000000006,neg,0,0,0,0,0,0,0,1,0,0,0,0
10.0,630.0,10.0,,308.0,23.0,160.0,125.0,0.0,237.1,22.214285714285715,2.9000000000000004,24.5,35.1100006103516,,159.5,,1835.82,neg,0,0,0,0,0,0,0,1,0,0,0,0
