,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.62,0.45,0.52
3,Decision Tree,0.39,0.6,0.48
5,Random Forest,0.85,0.57,0.69
7,Neural Network,0.44,0.57,0.5
