,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.46,0.45,0.46
3,Decision Tree,0.67,0.35,0.46
5,Random Forest,0.68,0.62,0.65
7,Neural Network,0.43,0.5,0.47
