,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.5,0.5,0.5
3,Decision Tree,0.39,0.6,0.47
5,Random Forest,0.71,0.5,0.59
7,Neural Network,0.29,0.4,0.33
