,Pearson
T,-0.12
air temp,-0.1
month,-0.09
salinity,0.05
Dinophysis fortii,-0.05
wind strength,-0.04
Dinophysis tripos,0.04
precipitation,-0.03
Dinophysis caudata,-0.03
Dinophysis sacculus,0.03
DSP,-0.01
Soca,0.0
Phalacroma rotundatum,0.0
sun [h],-0.0
