,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.53,0.42,0.47
3,Decision Tree,0.46,0.52,0.49
5,Random Forest,0.81,0.65,0.72
7,Neural Network,0.48,0.48,0.48
