,Pearson
Dinophysis caudata,0.05
wind strength,0.04
Soca,-0.04
T,0.03
Dinophysis sacculus,0.03
Dinophysis fortii,-0.03
DSP,0.03
air temp,-0.02
precipitation,-0.02
month,0.02
Phalacroma rotundatum,0.02
sun [h],-0.01
salinity,-0.01
Dinophysis tripos,0.0
