,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.68,0.42,0.52
3,Decision Tree,0.47,0.62,0.54
5,Random Forest,0.86,0.6,0.71
7,Neural Network,0.29,0.52,0.38
