,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.71,0.5,0.59
3,Decision Tree,0.5,0.42,0.46
5,Random Forest,0.83,0.62,0.71
7,Neural Network,0.33,0.6,0.43
