,Pearson
Dinophysis tripos,0.08
wind strength,-0.03
Dinophysis sacculus,0.03
Dinophysis fortii,-0.02
salinity,-0.02
Phalacroma rotundatum,0.02
Soca,-0.02
T,0.01
air temp,0.01
Dinophysis caudata,0.01
precipitation,-0.01
DSP,0.0
sun [h],-0.0
month,0.0
