,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.74,0.5,0.6
3,Decision Tree,0.44,0.7,0.54
5,Random Forest,0.69,0.55,0.61
7,Neural Network,0.54,0.52,0.53
