,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.54,0.32,0.41
3,Decision Tree,0.45,0.35,0.39
5,Random Forest,0.71,0.5,0.59
7,Neural Network,0.35,0.55,0.43
