,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.69,0.5,0.58
3,Decision Tree,0.54,0.38,0.44
5,Random Forest,0.72,0.72,0.73
7,Neural Network,0.51,0.45,0.48
